,,,,,,,,,,,,,,
,STANDAR PORSI PER MENU,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MENU KE-,SIANG,,,,SORE,,,,PAGI,,,,,
,,BAHAN,STANDAR PORSI,SATUAN,,BAHAN,STANDAR PORSI,SATUAN,,BAHAN,STANDAR PORSI,SATUAN,,pisang= satuan terkecil buah
,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,,tepung bumbu bungkus
,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,,daun kelor gram
,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,,"tahu , satuan terbesar apa namanya? karena di stok pcs, di menu potong"
I,-    CHICKEN KATSU,ayam,65,gr,-    TENGIRI GORENG TEPUNG,Tengiri,40,gr,-    TELUR GULUNG (DAUN PRE + WORTEL),Telur,65,gr,,tepung kanji 500gr hapus
,    SAUS ASAM MANIS,tepung panir,5,gr,-    TEMPE BACEM REBUS,Tepung terigu,"2,5",gr,-    OSENG TAHU KECAP,wortel,10,gr,,saous tomat 5 jirigen hapus wkwkw. ganti ml
,,tepung terigu,"2,5",gr,,Tepung bumbu,"0,01",bks,,Tahu,1,ptg,,kemangi 1 gram bukan ikat
,-   TAHU SAKURA KUKUS,saus tomat,5,ml,-    SAYUR BENING DAUN KELOR,tempe,25,gr,-    SOTO WORTEL+LABU SIAM,wortel,30,gr,,"Sirup marjan = ganti sirup melon, satuannya ganti ml"
,"-   CAP CAY KUAH : BUNGA KOL, WORTEL, SAWI HIJAU",tahu,1,ptg,-    SEMANGKA,daun kelor,50,gr,,labu siam,30,gr,,Bakso satuan terkecil buah
,-   PISANG AMBON,telur,5,gr,,semangka,125,gr,,,,,,BNENERIN MINIMAL STOK
,,bunga kol,30,gr,TETP: TAHU BACEM,tahu,1,ptg,,,,,,ayam giling sattuannya kg
,,wortel,30,gr,,,,,,,,,,Sirup cocopandan ganti ml
,-     ,sawi ijo,30,gr,,,,,-     ,,-     ,-     ,,"searchnya kenapa harus urut? harusnya bisa semua misal lebih dari 1 kata, contoh tempe tepung"
,,pisang ambon,1,bh,,,,,,,,,,
," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket," MINYAK,BUMBU,GULA,GARAM DAN BAHAN PENGEMAS",,1,paket,,
,,,,,,,,,,,,,,
,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,MAKANAN  BIASA,Beras,75,gr,,
,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,LUNAK,Beras,35,gr,,
,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,HALUS,Tepung beras,30,gr,,
II,-   ROLLADE DAGING SAOS ASAM MANIS,daging sapi,30,gr,-      PEPES TONGKOL,tongkol,35,gr,-   AYAM BUMBU KECAP,ayam,80,gr,,
,-      OREK TEMPE (POTONG KOREK API), telur ,15,gr,-      DADAR JAGUNG,jagung manis,30,gr,-   PEPES TAHU,tahu,1,ptg,,
,-      SUP WORTEL+ JAGUNG MANIS+BUNCIS, tep panir ,5,gr,"-      BENING BAYAM, LABU SIAM KEMANGI",tepung terigu,"2,5",gr,"-   SUP GAMBAS, WORTEL, SUUN",gambas,30,gr,,
